Film Adı;IMDb Puanı;Oy Sayısı;Yönetmen;Yazar;Tür;Bütçe;Ülke;Yorum Sayısı;Çıkış Yılı;Film Süresi;;;;
Baba;8,02;208000;Florian Zeller;Christopher Hampton;Drama;$6,000,000 ;United Kingdom;1.100;2020;1h 37m;;;;
Zindan Adası;8,02;1500000;Martin Scorsese;Laeta Kalogridis;Thriller;$80,000,000 ;United States;1.700;2010;2h 18m;;;;
Perde Açılıyor;8,02;143000;Joseph L. Mankiewicz;Joseph L. Mankiewicz;Drama;$1,400,000 ;United States;457;1950;2h 18m;;;;
Kan Dökülecek;8,02;664000;Paul Thomas Anderson;Paul Thomas Anderson;Epic;$25,000,000 ;United States;1.600;2007;2h 38m;;;;
Jurassic Park;8,02;1100000;Steven Spielberg;Michael Crichton;Adventure;$63,000,000 ;United States;1.400;1993;2h 7m;;;;
Casino;8,02;586000;Martin Scorsese;Nicholas Pileggi;Drama;$52,000,000 ;United States;802;1995;2h 58m;;;;
Altıncı His;8,02;1100000;M. Night Shyamalan;M. Night Shyamalan;Drama;$40,000,000 ;United States;2.400;1999;1h 47m;;;;
Ran;8,02;142000;Akira Kurosawa;Akira Kurosawa;Epic;$11,500,000 ;Japan;361;1985;2h 40m;;;;
Top Gun: Maverick;8,02;758000;Joseph Kosinski;Jim Cash;Epic;$170,000,000 ;United States;4.400;2022;2h 10m;;;;
İhtiyarlara Yer Yok;8,02;1100000;Ethan Coen;Joel Coen;Contemporary Western;$25,000,000 ;United States;2.200;2007;2h 2m;;;;
Şey;8,02;491000;John Carpenter;Bill Lancaster;Alien Invasion;$15,000,000 ;United States;1.400;1982;1h 49m;;;;
Pan'ın Labirenti;8,02;720000;Guillermo del Toro;Guillermo del Toro;Coming-of-Age;$19,000,000 ;Mexico;1.400;2006;1h 58m;;;;
Affedilmeyen;8,02;449000;Clint Eastwood;David Webb Peoples;Drama;$14,400,000 ;United States;759;1992;2h 10m;;;;
Akıl Oyunları;8,02;1000000;Ron Howard;Akiva Goldsman;Drama;$58,000,000 ;United States;1.400;2001;2h 15m;;;;
Bill'i Öldür: Bölüm 1;8,02;1200000;Quentin Tarantino;Quentin Tarantino;Martial Arts;$30,000,000 ;United States;2.500;2003;1h 51m;;;;
Altın Hazineleri;8,02;136000;John Huston;John Huston;Tragedy;$3,000,000 ;United States;343;1948;2h 6m;;;;
Yojimbo;8,02;136000;Akira Kurosawa;Akira Kurosawa;Action;Bilinmiyor;Japan;251;1961;1h 50m;;;;
Tutsak;8,02;857000;Denis Villeneuve;Aaron Guzikowski;Thriller;$46,000,000 ;United States;1.300;2013;2h 33m;;;;
Kayıp Balık Nemo;8;1100000;Andrew Stanton;Andrew Stanton;Adventure;$94,000,000 ;United States;1.100;2003;1h 40m;;;;
Büyük Firar;8,02;266000;John Sturges;Paul Brickhill;Drama;$4,000,000 ;United States;463;1963;2h 52m;;;;
Monty Python ve Kutsal Kâse;8,02;584000;Terry Gilliam;Graham Chapman;Farce;£229,575 ;United Kingdom;884;1975;1h 31m;;;;
Yürüyen Şato;8,02;475000;Hayao Miyazaki;Hayao Miyazaki;Epic;$24,000,000 ;Japan;624;2004;1h 59m;;;;
Fil Adam;8,02;270000;David Lynch;Christopher De Vore;Drama;$5,000,000 ;United States;565;1980;2h 4m;;;;
